index,anomaly_score,threshold,label,predicted_anomaly
0,0.23164571337586992,0.22260767109495688,0,1
1,0.07108963569060958,0.22260767109495688,0,0
2,0.07804130597448254,0.22260767109495688,0,0
3,0.11773372892791578,0.22260767109495688,0,0
4,0.10364416867611426,0.22260767109495688,0,0
5,0.09545826572117559,0.22260767109495688,0,0
6,0.10418893229812395,0.22260767109495688,0,0
7,0.12807338347745303,0.22260767109495688,0,0
8,0.12457435438746771,0.22260767109495688,0,0
9,0.08429191206521874,0.22260767109495688,0,0
10,0.09753024456639586,0.22260767109495688,0,0
11,0.10311812427571732,0.22260767109495688,0,0
12,0.10162837793557294,0.22260767109495688,0,0
13,0.07465736942991254,0.22260767109495688,0,0
14,0.0737713374020546,0.22260767109495688,0,0
15,0.12268563348812268,0.22260767109495688,0,0
16,0.1281751435712602,0.22260767109495688,0,0
17,0.10289989553673774,0.22260767109495688,0,0
18,0.10895939311165442,0.22260767109495688,0,0
19,0.13187137572252855,0.22260767109495688,0,0
20,0.12334775291516638,0.22260767109495688,0,0
21,0.06269219554012645,0.22260767109495688,0,0
22,0.07135658779771852,0.22260767109495688,0,0
23,0.09983443566535222,0.22260767109495688,0,0
24,0.09346180759045186,0.22260767109495688,0,0
25,0.07118076851105859,0.22260767109495688,0,0
26,0.08242838483664358,0.22260767109495688,0,0
27,0.10174489270224615,0.22260767109495688,0,0
28,0.09104135364743651,0.22260767109495688,0,0
29,0.05180923998035592,0.22260767109495688,0,0
30,0.06523684712984182,0.22260767109495688,0,0
31,0.08196782004395856,0.22260767109495688,0,0
32,0.07138493210696495,0.22260767109495688,0,0
33,0.04748099494647831,0.22260767109495688,0,0
34,0.08426139542870908,0.22260767109495688,0,0
35,0.17568280081811216,0.22260767109495688,0,0
36,0.18143436737079738,0.22260767109495688,0,0
37,0.1463030655370876,0.22260767109495688,0,0
38,0.1697888127981614,0.22260767109495688,0,0
39,0.19226363025136484,0.22260767109495688,0,0
40,939.5273547380687,0.22260767109495688,1,1
41,9145.68446639731,0.22260767109495688,1,1
42,17362.69309142189,0.22260767109495688,1,1
43,17360.633143498737,0.22260767109495688,1,1
44,18203.53175555938,0.22260767109495688,1,1
45,18207.188681526306,0.22260767109495688,1,1
46,17270.385541722153,0.22260767109495688,1,1
47,9048.149159010405,0.22260767109495688,1,1
48,827.6041218218907,0.22260767109495688,1,1
49,825.5080675190566,0.22260767109495688,1,1
50,0.17123112856546122,0.22260767109495688,1,0
51,0.19715548748353745,0.22260767109495688,1,0
52,0.1847952170898957,0.22260767109495688,1,0
53,0.12450249377644829,0.22260767109495688,1,0
54,0.13779096030001647,0.22260767109495688,1,0
55,0.4802280175880156,0.22260767109495688,1,1
56,0.5266264615217102,0.22260767109495688,1,1
57,0.48470613973452586,0.22260767109495688,1,1
58,0.504525680659542,0.22260767109495688,1,1
59,0.5391012877143635,0.22260767109495688,1,1
60,0.5279272933892625,0.22260767109495688,1,1
61,0.1502958448504931,0.22260767109495688,1,0
62,0.14629865587497048,0.22260767109495688,1,0
63,0.25474133713855507,0.22260767109495688,1,1
64,0.2622925240255141,0.22260767109495688,1,1
65,0.24448046609502427,0.22260767109495688,1,1
66,0.24373899893293866,0.22260767109495688,1,1
67,0.26994424893344104,0.22260767109495688,1,1
68,0.2634449803981419,0.22260767109495688,1,1
69,0.1352593270039672,0.22260767109495688,1,0
70,0.15613242745770123,0.22260767109495688,1,0
71,0.23806036612642806,0.22260767109495688,1,1
72,0.31351048661997327,0.22260767109495688,1,1
73,0.2692444456496099,0.22260767109495688,1,1
74,0.30743046206864844,0.22260767109495688,1,1
75,0.3254320094507791,0.22260767109495688,0,1
76,0.3165318266879562,0.22260767109495688,0,1
77,0.21860883862954733,0.22260767109495688,0,0
78,0.1707140605112624,0.22260767109495688,0,0
79,0.2566963782086943,0.22260767109495688,0,1
80,0.41528923958157626,0.22260767109495688,0,1
81,0.38987541588263935,0.22260767109495688,0,1
82,0.4267093456530656,0.22260767109495688,0,1
83,0.4388071682738892,0.22260767109495688,0,1
84,0.45123660090768936,0.22260767109495688,0,1
85,0.34990657826961336,0.22260767109495688,0,1
86,0.20090579455226942,0.22260767109495688,0,0
87,0.24794902821570386,0.22260767109495688,0,1
88,0.2760671241777826,0.22260767109495688,0,1
89,0.22471185541511018,0.22260767109495688,0,1
90,0.2355382779258504,0.22260767109495688,0,1
91,0.29408560287217744,0.22260767109495688,0,1
92,0.2901431403690611,0.22260767109495688,0,1
93,0.19625051565422036,0.22260767109495688,0,0
94,0.19664471127952676,0.22260767109495688,0,0
95,0.22739597441702442,0.22260767109495688,0,1
96,0.22029894029174996,0.22260767109495688,0,0
97,0.1443005588419745,0.22260767109495688,0,0
98,0.156918389185826,0.22260767109495688,0,0
99,0.2044468144599323,0.22260767109495688,0,0
100,0.22807519258636566,0.22260767109495688,0,1
101,0.23013804487420184,0.22260767109495688,0,1
102,0.24749577170631276,0.22260767109495688,0,1
103,0.27588636239127406,0.22260767109495688,0,1
104,0.29108582592016785,0.22260767109495688,0,1
105,0.33705593820452684,0.22260767109495688,0,1
106,0.34197426194267067,0.22260767109495688,0,1
107,0.35697727976056337,0.22260767109495688,0,1
108,0.35358021642779514,0.22260767109495688,0,1
109,0.3332659003065485,0.22260767109495688,0,1
110,0.3162194984406489,0.22260767109495688,0,1
111,0.23810105731218673,0.22260767109495688,0,1
112,0.23938967991351814,0.22260767109495688,0,1
113,0.17172966812221196,0.22260767109495688,0,0
114,0.2024177075260033,0.22260767109495688,0,0
