timestamp,sample_index,label,frontend__cpu,frontend__memory,checkoutservice__cpu,checkoutservice__memory,paymentservice__cpu,paymentservice__memory,productcatalogservice__cpu,productcatalogservice__memory,cartservice__cpu,cartservice__memory,currencyservice__cpu,currencyservice__memory,shippingservice__cpu,shippingservice__memory,recommendationservice__cpu,recommendationservice__memory,emailservice__cpu,emailservice__memory,adservice__cpu,adservice__memory,redis-cart__cpu,redis-cart__memory
2026-06-08T11:39:54+00:00,0,0,0.007639829738638426,16994304.0,0.0005124381676105818,13701120.0,0.0003701044386422973,43888640.0,0.003769207713058246,15368192.0,0.0029780720338982974,58077184.0,0.00543681376974343,51384320.0,0.0006089836223506746,13062144.0,0.004921012072951436,39399424.0,0.002093289593726342,47435776.0,0.004802618764203018,103473152.0,0.0016390690831271295,15577088.0
2026-06-08T11:40:09+00:00,1,0,0.008524055591829132,17031168.0,0.00031836555368757596,13758464.0,0.0003448812855466304,43843584.0,0.0019381749999999977,15368192.0,0.003040131177867941,58150912.0,0.005829302049693529,52117504.0,0.0006409363909363908,13062144.0,0.004449680607448493,39399424.0,0.0021323254426099053,47435776.0,0.005969317959742044,116379648.0,0.0015767916967746145,15577088.0
2026-06-08T11:40:24+00:00,2,0,0.008412532939507144,17031168.0,0.0005804525124967115,13856768.0,0.0003181231459045685,43843584.0,0.003558569007047911,15421440.0,0.003050364616687669,58101760.0,0.005754478432386977,52117504.0,0.0005901111694478054,13058048.0,0.0047285526315789615,39669760.0,0.0020591212382551874,47431680.0,0.005071653473795742,116379648.0,0.0014758696101900273,15835136.0
2026-06-08T11:40:39+00:00,3,0,0.007997206036870779,17158144.0,0.0006020269658854395,14180352.0,0.00041772465473462563,43909120.0,0.00372479793334247,15429632.0,0.0031161834092833904,58179584.0,0.0036824951693873137,52355072.0,0.0005613189486249689,13029376.0,0.004673118568382887,39952384.0,0.0022452380328556007,47439872.0,0.00614334790755776,103129088.0,0.0014966472560437674,16072704.0
2026-06-08T11:40:54+00:00,4,0,0.007997206036870779,17158144.0,0.0005888495321553615,13955072.0,0.0006229931387423288,44224512.0,0.0032192118882935256,15429632.0,0.0030986240762349263,58408960.0,0.005414400885235541,52256768.0,0.0006330638697414524,13045760.0,0.004816360525841877,39952384.0,0.002326746095888633,47312896.0,0.003426669013258242,103116800.0,0.001565637631070233,16097280.0
2026-06-08T11:41:09+00:00,5,0,0.005321584031079711,17178624.0,0.0005212911365786988,13955072.0,0.0006381282216494855,44142592.0,0.00370717193861572,15691776.0,0.0030541707650600983,58155008.0,0.005355806692271572,52625408.0,0.0006093335730013919,13049856.0,0.004534750751768234,39432192.0,0.0022377162168171023,47304704.0,0.0032902812519065585,103161856.0,0.001556000539981102,16101376.0
2026-06-08T11:41:24+00:00,6,0,0.007944498225233942,17186816.0,0.0005344173149917889,13971456.0,0.0006008764710723427,44191744.0,0.0035802601956448133,15400960.0,0.002824866988983808,58159104.0,0.0049847479043941,52858880.0,0.0005587457376391528,13049856.0,0.004785387256772235,39698432.0,0.002113653267221535,47304704.0,0.0033408358774607914,103395328.0,0.0015351179735501668,16101376.0
2026-06-08T11:41:39+00:00,7,0,0.006372117101265899,17203200.0,0.0006927182814830314,13971456.0,0.0005192624823667326,44769280.0,0.0031545664023832705,15429632.0,0.0029904372457563977,58167296.0,0.004894175553732566,52768768.0,0.0005788387041845819,13139968.0,0.004810488428817913,40218624.0,0.0020833333333333277,47304704.0,0.0035074844538070336,103448576.0,0.0015350195001500048,16621568.0
2026-06-08T11:41:54+00:00,8,0,0.007365457699128841,17158144.0,0.0005002059703951888,13967360.0,0.0004870073891625627,44548096.0,0.0034787249239811428,15405056.0,0.0028161556518161834,58142720.0,0.004699549353103633,52768768.0,0.0005743779611559112,13139968.0,0.004659584256974366,39485440.0,0.002126861802413277,47235072.0,0.0030374596218145948,103424000.0,0.0015001082357571575,16453632.0
2026-06-08T11:42:09+00:00,9,0,0.007782379692793164,17158144.0,0.0004532219358279267,13979648.0,0.00047982042131921004,44453888.0,0.0033783359854512307,15413248.0,0.0030888994831133813,58359808.0,0.00565329575700643,53190656.0,0.0006121374725023852,13144064.0,0.004289810822519749,39485440.0,0.002018703276547262,47230976.0,0.0030266940061893597,103448576.0,0.001437348796838353,16453632.0
