timestamp,frontend__cpu,frontend__memory,checkoutservice__cpu,checkoutservice__memory,paymentservice__cpu,paymentservice__memory,productcatalogservice__cpu,productcatalogservice__memory,cartservice__cpu,cartservice__memory,currencyservice__cpu,currencyservice__memory,shippingservice__cpu,shippingservice__memory,recommendationservice__cpu,recommendationservice__memory,emailservice__cpu,emailservice__memory,adservice__cpu,adservice__memory,redis-cart__cpu,redis-cart__memory
2026-06-08T08:27:12+00:00,0.007827015601969,20258816.0,0.00036161035226455976,16576512.0,0.0002294238440295868,52813824.0,0.003829772673809362,17010688.0,0.0025844246645333035,71557120.0,0.0040677259556967365,51683328.0,0.0003886141026500175,14680064.0,0.004576733254994195,42012672.0,0.002161298429319363,46739456.0,0.001248972277853919,109105152.0,0.0014696243909459073,6422528.0
2026-06-08T08:27:27+00:00,0.0078039627307758385,20336640.0,0.000630973667865003,16580608.0,0.000306303669008674,52748288.0,0.0038162274066406367,16945152.0,0.002801989489489519,71262208.0,0.0041119071681224115,51707904.0,0.0005933125761472794,14680064.0,0.004934742762447454,41738240.0,0.002210985820675741,46735360.0,0.001734531573087302,109117440.0,0.0012022070900862894,6422528.0
2026-06-08T08:27:42+00:00,0.007555189912348189,20348928.0,0.0008136533780069599,16580608.0,0.00028953019545957705,52752384.0,0.0035067762275671184,16945152.0,0.0027379115910420512,71294976.0,0.0040193786745767995,51724288.0,0.0005272261035664749,14680064.0,0.004355404493799067,41738240.0,0.0022948806605057994,46743552.0,0.0030014817142985308,109178880.0,0.001491925372855033,6426624.0
2026-06-08T08:27:57+00:00,0.007828320431759518,20447232.0,0.0009346445843352399,16584704.0,0.00035593297204151737,52781056.0,0.003579028546246871,16752640.0,0.002755817473612005,71299072.0,0.003950882527930264,51740672.0,0.0005210161110224958,14680064.0,0.004649878456396242,41738240.0,0.002371811843614795,46743552.0,0.003026045111410133,109166592.0,0.0014874123949268553,6422528.0
2026-06-08T08:28:12+00:00,0.007923643483125136,20250624.0,0.0005135224913494805,16588800.0,0.00037369969823620487,52834304.0,0.0037237588242101495,17350656.0,0.002691614151856233,71299072.0,0.003896231053722991,51765248.0,0.0005632561192910063,14684160.0,0.004706086453664914,41738240.0,0.0022576850012952284,46739456.0,0.002447589726635914,109174784.0,0.0010223065483234623,6422528.0
2026-06-08T08:28:27+00:00,0.007852649769585244,20307968.0,0.0006787596477508325,16596992.0,0.0004087498139920123,52879360.0,0.003993907170570541,16781312.0,0.002660915360501617,71307264.0,0.003776082798965015,51789824.0,0.0005917918373539636,14684160.0,0.004907096556238255,41738240.0,0.002141929539770992,46739456.0,0.0010731558350487295,109166592.0,0.0012694625838264183,6422528.0
2026-06-08T08:28:42+00:00,0.007344576080742746,20221952.0,0.0005831305264865747,16601088.0,0.00038142901139524615,52813824.0,0.0038405832173755605,17076224.0,0.002564449368676288,71311360.0,0.0036758906458371804,51793920.0,0.0006159002904162647,14680064.0,0.004715825495379176,41738240.0,0.0012967049768328642,47005696.0,0.0009936123292185238,109166592.0,0.001536434393577219,6426624.0
2026-06-08T08:28:57+00:00,0.007179510710749284,20295680.0,0.0005341405829963308,16601088.0,0.00025831142724611853,52822016.0,0.0036507608566093436,16949248.0,0.0025758461215051646,71307264.0,0.0034262683625100776,52064256.0,0.00046465116279070107,14680064.0,0.004489010336224269,41746432.0,0.0018895432774938348,46735360.0,0.0024597665847666374,109219840.0,0.0014867623015663736,6684672.0
2026-06-08T08:29:12+00:00,0.007298207330235977,20299776.0,0.000370920927146828,16605184.0,0.0002629921616602575,52854784.0,0.003067398152258953,16687104.0,0.0026110252753347514,71311360.0,0.0038593018891530575,51814400.0,0.0004135001502444937,14680064.0,0.004269521555953087,41738240.0,0.0018956712496492512,46735360.0,0.0026168400037143423,109346816.0,0.001389066457604654,6172672.0
2026-06-08T08:29:27+00:00,0.0070707118305798605,21340160.0,0.000353779469288503,16605184.0,0.00019460983310778325,52887552.0,0.0023680330718672984,16687104.0,0.002668884307846141,71311360.0,0.003942234490127627,52072448.0,0.0003589998015479162,14688256.0,0.00422110089865094,41754624.0,0.001606391895402204,46735360.0,0.00244754805477612,109346816.0,0.0013418097274406759,6426624.0
