timestamp,cpu__frontend,memory__frontend,cpu__checkoutservice,memory__checkoutservice,cpu__paymentservice,memory__paymentservice,cpu__productcatalogservice,memory__productcatalogservice,cpu__cartservice,memory__cartservice,cpu__currencyservice,memory__currencyservice,cpu__shippingservice,memory__shippingservice,cpu__recommendationservice,memory__recommendationservice,cpu__emailservice,memory__emailservice,cpu__adservice,memory__adservice,cpu__redis-cart,memory__redis-cart
1780905896.0,,20103168.0,,,,51781632.0,,16605184.0,,70881280.0,,,,14610432.0,,41721856.0,,46743552.0,,108838912.0,,6434816.0
1780905911.0,0.0049920715797616986,20209664.0,,16068608.0,0.00015663249961775036,51802112.0,0.002972650729597817,16867328.0,,70881280.0,,51724288.0,,14610432.0,,41721856.0,0.001332106691983568,46739456.0,,108838912.0,0.0006769029004845936,6168576.0
1780905926.0,0.006218207541736285,19980288.0,0.0006951744404119772,16138240.0,0.00027124700406489427,51851264.0,0.003609055926079348,16683008.0,0.0027781278729110963,70918144.0,,51724288.0,,14610432.0,0.00390618873517782,41734144.0,0.0018817843946504402,46735360.0,0.0011036321318888508,108834816.0,0.0010745043016872097,6430720.0
1780905941.0,0.00864128412275953,19976192.0,0.0007729412401255249,16220160.0,0.00035845060135374193,51884032.0,0.004454100014411319,16461824.0,0.0034975437173246967,70897664.0,0.004866782251786829,51531776.0,0.0007205793882178721,14643200.0,0.0057006491232795605,41742336.0,0.0021481473798129103,46735360.0,0.00733720114415243,108929024.0,0.0013629567320567893,6430720.0
1780905956.0,0.007256163820161395,20033536.0,0.0006287534121929,16269312.0,0.0006134855143956839,51859456.0,0.0037164988223828454,16461824.0,0.0031447661469933144,70930432.0,0.004176526658239967,51548160.0,0.0003888259548832729,14643200.0,0.0050681226096114165,41721856.0,0.002339453000377048,46739456.0,0.006817853528383421,108847104.0,0.001695603448275844,6430720.0
1780905971.0,0.007444694186297752,20037632.0,0.0003817935386392963,16269312.0,0.0005446067976586546,51863552.0,0.003741684505186943,16470016.0,0.003224089855869258,70934528.0,0.0034006277389553477,51556352.0,0.00047659506242100425,14643200.0,0.0050074774018469175,41734144.0,0.0022809862869198135,46743552.0,0.006817853528383421,108847104.0,0.0016304608281464327,6692864.0
1780905986.0,0.007213068648382312,20037632.0,0.0004429868819374343,16269312.0,0.0005967212387417415,51888128.0,0.0034762814633649487,17096704.0,0.0035906051527860943,70967296.0,0.0034114322255915587,51576832.0,0.0005254300341901582,14643200.0,0.0046698665008453,41705472.0,0.0021907762474870315,46735360.0,0.002003835348723588,108855296.0,0.0014758806305640235,6688768.0
1780906001.0,0.007583235626425635,20037632.0,0.0003837573430249872,16269312.0,0.00031979785667148215,51920896.0,0.0034435904834352045,16474112.0,0.0034941861841948974,70946816.0,0.003857939794451407,51597312.0,0.00046891881312142655,14643200.0,0.004786732085671544,41705472.0,0.0021029457666796665,46735360.0,0.001521357753961169,108851200.0,0.0014702324169629912,6168576.0
1780906016.0,0.007714998574279946,20037632.0,0.00023642817526345287,16269312.0,0.0002875748537076723,51953664.0,0.0032879396439426047,16470016.0,0.003428628424505755,70946816.0,0.0038846805721905017,51630080.0,0.0004738754665095301,14643200.0,0.004807760883065845,41988096.0,0.002042784255066277,46739456.0,0.0032116794743943093,108879872.0,0.0015506086718643454,6430720.0
1780906031.0,0.007468457893135094,20041728.0,0.00012595387839819716,16269312.0,0.00023811914744051335,52031488.0,0.003629620908876802,16486400.0,0.0030940619532777345,70942720.0,0.004230673209366353,51638272.0,0.00048432139632861366,14643200.0,0.005052213249904816,41992192.0,0.0019707376419363103,46735360.0,0.002639544517855992,108879872.0,0.0015693078850973657,6430720.0
1780906046.0,0.006992519739576264,20033536.0,0.00026056782334385524,16277504.0,0.0002936174636174197,51937280.0,0.003910516584107558,16449536.0,0.003262872628726343,70950912.0,0.004282259191947466,51654656.0,0.0006715204779137256,14913536.0,0.0032709042281483898,41721856.0,0.0020367266045954934,46735360.0,0.0024766928158546572,108888064.0,0.0015569230132792575,6172672.0
