timestamp,paymentservice,cpu__frontend,memory__frontend,cpu__checkoutservice,memory__checkoutservice,cpu__paymentservice,memory__paymentservice,cpu__productcatalogservice,memory__productcatalogservice,cpu__cartservice,memory__cartservice,cpu__currencyservice,memory__currencyservice,cpu__shippingservice,memory__shippingservice,cpu__recommendationservice,memory__recommendationservice,cpu__emailservice,memory__emailservice,cpu__adservice,memory__adservice,cpu__redis-cart,memory__redis-cart
1780906963.0,0.00032740138229336965,0.008073299349622115,20361216.0,0.0004606639615114681,16564224.0,0.00032740138229336965,52572160.0,0.003497504860661138,16703488.0,0.0028243618667611052,71290880.0,0.0063630416592713205,51699712.0,0.0007447191498590353,14680064.0,0.0048198643579361235,41750528.0,0.0017395985667275275,46739456.0,0.001200313247053045,109023232.0,0.0016086766131806673,6176768.0
1780906978.0,0.00033455150183750806,0.008059072973830907,20348928.0,0.00039591340626129806,16564224.0,0.00033455150183750806,52604928.0,0.003794857780012705,16764928.0,0.0029806559246510164,71237632.0,0.00387388931045452,51453952.0,0.0005831101349903635,14675968.0,0.0047909714698445745,41746432.0,0.0024666451260128576,46997504.0,0.00123692615324796,109027328.0,0.0016009083880942937,6176768.0
1780906993.0,0.0003190121379640007,0.008445767226404182,20586496.0,0.0005723513052839376,16564224.0,0.0003190121379640007,52654080.0,0.004572514268549077,17809408.0,0.003153637350705708,71237632.0,0.004289081385979083,51707904.0,0.0005907462821907883,14675968.0,0.004992207375949057,41738240.0,0.002457921943654668,46739456.0,0.0012778173249220108,109420544.0,0.0017186866869899433,6168576.0
1780907008.0,0.00035650467289730634,0.008615816747684031,20328448.0,0.0007947671232876668,16564224.0,0.00035650467289730634,52719616.0,0.004459356235849927,16637952.0,0.0034820833448095433,71286784.0,0.004442054677488245,51691520.0,0.0006106537530266219,14675968.0,0.0052558762728734665,41738240.0,0.002425865864918002,46735360.0,0.0012751095957135978,109154304.0,0.0016782395825888057,6430720.0
1780907023.0,0.0003822343037533548,0.008188926048324907,20328448.0,0.00043436406032942507,16564224.0,0.0003822343037533548,52719616.0,0.004201637021879405,16900096.0,0.003285763465089375,71274496.0,0.004458057568483183,51486720.0,0.0006272507599968754,14680064.0,0.005179519289032575,41738240.0,0.0024254322476879595,46735360.0,0.001308260680034819,109154304.0,0.001727338030114664,6430720.0
1780907038.0,0.00032480229154988424,0.007695447312405674,20357120.0,0.0005129676165188901,16564224.0,0.00032480229154988424,52641792.0,0.003920911759626989,16637952.0,0.002811902463330405,71790592.0,0.004082850347518848,51564544.0,0.0005091798315413564,14680064.0,0.0050885739592559905,41746432.0,0.0023821508953909246,46735360.0,0.001819125056118175,109174784.0,0.0016943327039378288,6426624.0
1780907053.0,0.0003299787957318292,0.007280213702861234,20213760.0,0.0003589448441247024,16576512.0,0.0003299787957318292,52641792.0,0.003671798161214465,16637952.0,0.0029037157847163707,71278592.0,0.003971409859190432,51785728.0,0.00044054192691833725,14680064.0,0.0045174687423052634,41738240.0,0.0023127075402931798,46735360.0,0.0015764735922062859,109174784.0,0.0017052475217509812,6430720.0
1780907068.0,0.00011175405929916073,0.007240591036756509,20336640.0,0.0003948425624321356,16564224.0,0.00011175405929916073,52666368.0,0.003633178228990437,16904192.0,0.002768126516243181,71315456.0,0.0036764193281338697,51568640.0,0.0004375671136319838,14680064.0,0.0044518026150226495,41742336.0,0.0022426554552060973,46735360.0,0.0016302865285765544,109174784.0,0.001295599233333348,6168576.0
1780907083.0,0.00027910454137670623,0.0078093268786338646,20373504.0,0.00031801304667938667,16564224.0,0.00027910454137670623,52772864.0,0.003915772532188852,16642048.0,0.003114657106020688,71315456.0,0.003952794597112352,51568640.0,0.0006007498449568659,14680064.0,0.00487999811946121,42008576.0,0.0022177423173445478,46735360.0,0.0011761789086173055,109420544.0,0.0015423735676397857,6172672.0
1780907098.0,0.00030028017973423416,0.008805736411167074,20512768.0,0.0005423988189543388,16572416.0,0.00030028017973423416,52772864.0,0.004203045795242826,16637952.0,0.003141433894453085,71315456.0,0.004168854195947818,51576832.0,0.0007580713204457022,14680064.0,0.005435063576559097,41750528.0,0.0023744454931570996,46739456.0,0.0014379565880065083,109170688.0,0.0015981549667814245,6684672.0
