timestamp,sample_index,label,fault_active,frontend_latency_ms,frontend_status_code,frontend_success,frontend_error,frontend_response_bytes,running_pods,not_ready_pods,total_restarts,frontend_ready_ratio,productcatalogservice_ready_ratio,cartservice_ready_ratio,checkoutservice_ready_ratio,recommendationservice_ready_ratio,paymentservice_ready_ratio,shippingservice_ready_ratio
2026-06-02T22:18:56.398781,0,0,0.0,84.71180009655654,200.0,1.0,0.0,10497.0,12.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-06-02T22:18:58.342710,1,0,0.0,19.690799992531538,200.0,1.0,0.0,7956.0,12.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-06-02T22:19:00.210142,2,0,0.0,17.437900183722377,200.0,1.0,0.0,7935.0,12.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-06-02T22:19:02.090319,3,0,0.0,23.47879996523261,200.0,1.0,0.0,6916.0,12.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-06-02T22:19:04.086592,4,0,0.0,17.162299947813153,200.0,1.0,0.0,10497.0,12.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-06-02T22:19:06.119179,5,0,0.0,26.24619984999299,200.0,1.0,0.0,7962.0,12.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-06-02T22:19:08.116449,6,0,0.0,28.523700078949332,200.0,1.0,0.0,7953.0,12.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-06-02T22:19:10.076992,7,0,0.0,22.74110005237162,200.0,1.0,0.0,6872.0,12.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-06-02T22:19:12.183571,8,0,0.0,127.97780008986592,200.0,1.0,0.0,10497.0,12.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-06-02T22:19:14.365142,9,0,0.0,12.583799893036485,200.0,1.0,0.0,7944.0,12.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-06-02T22:19:16.395032,10,0,0.0,13.246299931779504,200.0,1.0,0.0,7931.0,12.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-06-02T22:19:18.389620,11,0,0.0,30.18490015529096,200.0,1.0,0.0,6878.0,12.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-06-02T22:19:20.431905,12,0,0.0,21.80480002425611,200.0,1.0,0.0,10497.0,12.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-06-02T22:19:22.465692,13,0,0.0,15.20569995045662,200.0,1.0,0.0,8004.0,12.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-06-02T22:19:24.452836,14,0,0.0,14.504000078886747,200.0,1.0,0.0,7945.0,12.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-06-02T22:19:26.454028,15,0,0.0,22.872600005939603,200.0,1.0,0.0,6848.0,12.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-06-02T22:19:28.481605,16,0,0.0,101.63059993647039,200.0,1.0,0.0,10497.0,12.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-06-02T22:19:30.567525,17,0,0.0,13.427900150418282,200.0,1.0,0.0,8018.0,12.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-06-02T22:19:32.614522,18,0,0.0,13.203799957409501,200.0,1.0,0.0,7927.0,12.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-06-02T22:19:34.657126,19,0,0.0,11.809499934315681,200.0,1.0,0.0,6854.0,12.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-06-02T22:19:36.715370,20,0,0.0,19.323700107634068,200.0,1.0,0.0,10497.0,12.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-06-02T22:19:38.799317,21,0,0.0,12.146499939262867,200.0,1.0,0.0,7960.0,12.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-06-02T22:19:40.895815,22,0,0.0,13.044700026512146,200.0,1.0,0.0,7949.0,12.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-06-02T22:19:43.009141,23,0,0.0,49.99929992482066,200.0,1.0,0.0,6864.0,12.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-06-02T22:19:45.142376,24,0,0.0,29.07039993442595,200.0,1.0,0.0,10497.0,12.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-06-02T22:19:47.231586,25,0,0.0,13.47390003502369,200.0,1.0,0.0,7958.0,12.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-06-02T22:19:49.259039,26,0,0.0,32.832499826326966,200.0,1.0,0.0,7959.0,12.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-06-02T22:19:51.301579,27,0,0.0,33.45150011591613,200.0,1.0,0.0,6854.0,12.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-06-02T22:19:53.448808,28,0,0.0,97.7390999905765,200.0,1.0,0.0,10497.0,12.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-06-02T22:19:55.566736,29,0,0.0,28.457999927923083,200.0,1.0,0.0,7956.0,12.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-06-02T22:19:57.674973,30,0,0.0,16.75539999268949,200.0,1.0,0.0,7915.0,12.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-06-02T22:19:59.713002,31,0,0.0,30.449099838733673,200.0,1.0,0.0,6870.0,12.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-06-02T22:20:01.774935,32,0,0.0,47.84479993395507,200.0,1.0,0.0,10497.0,12.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-06-02T22:20:03.901333,33,0,0.0,33.7722001131624,200.0,1.0,0.0,7990.0,12.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-06-02T22:20:05.938925,34,0,0.0,17.367100110277534,200.0,1.0,0.0,7933.0,12.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-06-02T22:20:07.973008,35,0,0.0,30.633999966084957,200.0,1.0,0.0,6894.0,12.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-06-02T22:20:10.011347,36,0,0.0,128.29799996688962,200.0,1.0,0.0,10497.0,12.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-06-02T22:20:12.183447,37,0,0.0,27.86940010264516,200.0,1.0,0.0,7942.0,12.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-06-02T22:20:14.201783,38,0,0.0,12.619599932804704,200.0,1.0,0.0,7955.0,12.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-06-02T22:20:16.206038,39,0,0.0,12.462399899959564,200.0,1.0,0.0,6892.0,12.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-06-02T22:20:18.274714,40,0,0.0,17.23130000755191,200.0,1.0,0.0,10497.0,12.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-06-02T22:20:20.309556,41,0,0.0,13.864799868315458,200.0,1.0,0.0,8014.0,12.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
