timestamp,sample_index,label,fault_active,chaosmesh_active,frontend_latency_ms,frontend_status_code,frontend_success,frontend_error,frontend_response_bytes,running_pods,not_ready_pods,total_restarts,frontend_ready_ratio,productcatalogservice_ready_ratio,cartservice_ready_ratio,checkoutservice_ready_ratio,recommendationservice_ready_ratio,paymentservice_ready_ratio,shippingservice_ready_ratio
2026-06-05T16:45:31.182079,0,0,0.0,0.0,50.47489999560639,200.0,1.0,0.0,10499.0,12.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-06-05T16:45:33.186067,1,0,0.0,0.0,23.23300001444295,200.0,1.0,0.0,7943.0,12.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-06-05T16:45:34.969929,2,0,0.0,0.0,31.575499975588173,200.0,1.0,0.0,7970.0,12.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-06-05T16:45:36.886353,3,0,0.0,0.0,25.800400006119162,200.0,1.0,0.0,6915.0,12.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-06-05T16:45:38.902291,4,0,0.0,0.0,32.36439998727292,200.0,1.0,0.0,10499.0,12.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-06-05T16:45:40.651171,5,0,0.0,0.0,24.19470000313595,200.0,1.0,0.0,7999.0,12.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-06-05T16:45:42.367944,6,0,0.0,0.0,26.863900013267994,200.0,1.0,0.0,7920.0,12.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-06-05T16:45:44.267831,7,0,0.0,0.0,24.440100009087473,200.0,1.0,0.0,6879.0,12.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-06-05T16:45:46.019984,8,0,0.0,0.0,22.17369998106733,200.0,1.0,0.0,10499.0,12.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-06-05T16:45:47.918666,9,0,0.0,0.0,27.18909998657182,200.0,1.0,0.0,7959.0,12.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-06-05T16:45:49.801942,10,0,0.0,0.0,22.251099988352507,200.0,1.0,0.0,7958.0,12.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-06-05T16:45:51.535194,11,0,0.0,0.0,31.40410000924021,200.0,1.0,0.0,6873.0,12.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-06-05T16:45:53.487902,12,0,0.0,0.0,32.25119999842718,200.0,1.0,0.0,10499.0,12.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-06-05T16:45:55.401904,13,0,0.0,0.0,22.277900017797947,200.0,1.0,0.0,7997.0,12.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-06-05T16:45:57.133962,14,0,0.0,0.0,26.98600001167506,200.0,1.0,0.0,7922.0,12.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2026-06-05T16:45:59.035128,15,0,0.0,0.0,30.2454000338912,200.0,1.0,0.0,6905.0,12.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
