index,anomaly_score,threshold,label,predicted_anomaly
0,1.0803539717727497,7.954758946766974,0,0
1,1.1559778819277002,7.954758946766974,0,0
2,1.1133619618862962,7.954758946766974,0,0
3,0.8291882262683312,7.954758946766974,0,0
4,0.9888755470542572,7.954758946766974,0,0
5,1.091252572799395,7.954758946766974,0,0
6,1.0538086933618551,7.954758946766974,0,0
7,1.0882196313881813,7.954758946766974,0,0
8,1.1356468788765182,7.954758946766974,0,0
9,0.9807489587617049,7.954758946766974,0,0
10,1.3564737234844704,7.954758946766974,0,0
11,1.6081744919986043,7.954758946766974,0,0
12,1.913532604957315,7.954758946766974,0,0
13,2.703425672064265,7.954758946766974,0,0
14,4.962553513318401,7.954758946766974,0,0
15,6.288281084432038,7.954758946766974,0,0
16,8.099670065230882,7.954758946766974,0,1
