timestamp,alarm_frontend_cpu__frontend,alarm_frontend_probe_duration,alarm_frontend_probe_success,cpu__adservice,cpu__cartservice,cpu__checkoutservice,cpu__currencyservice,cpu__emailservice,cpu__frontend,cpu__loadgenerator,cpu__paymentservice,cpu__productcatalogservice,cpu__recommendationservice,cpu__redis-cart,cpu__shippingservice,fs_reads__frontend,fs_reads__productcatalogservice,fs_reads__redis-cart,fs_reads__shippingservice,fs_writes__frontend,fs_writes__productcatalogservice,fs_writes__redis-cart,fs_writes__shippingservice,memory__adservice,memory__cartservice,memory__checkoutservice,memory__currencyservice,memory__emailservice,memory__frontend,memory__loadgenerator,memory__paymentservice,memory__productcatalogservice,memory__recommendationservice,memory__redis-cart,memory__shippingservice,restart__adservice__server,restart__cartservice__server,restart__checkoutservice__server,restart__currencyservice__server,restart__emailservice__server,restart__frontend__server,restart__loadgenerator__main,restart__paymentservice__server,restart__productcatalogservice__server,restart__recommendationservice__server,restart__redis-cart__redis,restart__shippingservice__server,running__adservice,running__cartservice,running__checkoutservice,running__currencyservice,running__emailservice,running__frontend,running__loadgenerator,running__paymentservice,running__productcatalogservice,running__recommendationservice,running__redis-cart,running__shippingservice
1780591223,,,,,,,,,,,,,,,,,,,,,,,,,51384320,8966144,40787968,43483136,14360576,47800320,30543872,9347072,42217472,5681152,8704000,,,,,,,,,,,,,,,,,,,,,,,,
1780591238,0.004896065834723613,0.038723035,1,0.0007586049917056319,0.003100342537014029,0.0005295133893904078,0.0029846967420709596,0.0006897142276047057,0.004896065834723613,0.0013660403747757352,0.00016693047906078654,0.0021431531290532174,0.002752546565624008,0.0008099452664307907,0.0005123562807437842,0,0,0,0,0,0,0,0,88096768,51384320,8970240,40927232,43487232,14376960,47800320,30760960,9613312,42217472,5681152,8699904,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
1780591253,0.012721867860970813,0.088502281,1,0.000975433333333342,0.006295353542990624,0.0010113998647119746,0.006225186117734333,0.0005552000000000075,0.012721867860970813,0.001394133333333336,0.0002874975931853217,0.005892329980346095,0.005259886072814325,0.0013997485062010558,0.0008361641665429043,0,0,0,0,0,0,0,0,88096768,51412992,8974336,41304064,43487232,14487552,47800320,30953472,9351168,42225664,5681152,8699904,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
1780591268,0.01967175994108984,0.014388547,1,0.003217347700345193,0.009906502348001136,0.0009523533556200745,0.009479890289173114,0.001614078649870801,0.01967175994108984,0.0037496401710961315,0.0006019082332761581,0.008149376632128717,0.0053899255535144715,0.0016215438380375838,0.0013077316948284694,0,0,0,0,0,0,0,0,88117248,51425280,8974336,40976384,43483136,14868480,47812608,31309824,9355264,42217472,5681152,8708096,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
1780591283,0.019701976789256462,0.015101604,1,0.003217347700345193,0.008188820872274235,0.0013411176790853211,0.009592452565987553,0.0016668786949038368,0.019701976789256462,0.0038968874496687297,0.0006595214005035432,0.0089338511987958,0.005533697454403592,0.002203634656281948,0.0012291542222517132,0,0,0,0,0,0,0,0,88117248,51425280,8982528,41279488,43491328,14381056,47816704,30691328,9355264,42217472,5681152,8708096,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
1780591298,0.017556438080322097,0.022560765,1,0.0019629849336593847,0.008585379419944307,0.0012266498201963212,0.008893817039346092,0.0013608314509682225,0.017556438080322097,0.0028471864197183445,0.0007680724165644482,0.007201696944989394,0.005387132191480034,0.0022100772540582813,0.0012827572306762073,0,0,0,0,0,0,0,0,88023040,51421184,8990720,41476096,43495424,14479360,47820800,30994432,9445376,42217472,5681152,8511488,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
1780591313,0.012693412850536118,0.020655787,1,0.0030275651519843707,0.008611847733105193,0.0011971538700659235,0.00582200137169568,0.0013782155414961623,0.012693412850536118,0.003648971321126716,0.0006391423696119864,0.008262240803614084,0.0053347690540651365,0.0023254705882352965,0.0012454254422915,0,0,0,0,0,0,0,0,88162304,51421184,8990720,41476096,43495424,14479360,47828992,31154176,9486336,42213376,5681152,8511488,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
1780591328,0.017308360347380588,0.027496324,1,0.0025270475345980027,0.00954585985302717,0.001235942850830357,0.008448933832597134,0.0017251739788199728,0.017308360347380588,0.0035387314378848064,0.0008684113766626976,0.005293300000000064,0.005696951837619941,0.002282301734883629,0.001275065305792698,0,0,0,0,0,0,0,0,88162304,51421184,8994816,40894464,43495424,14249984,47828992,31449088,9486336,42213376,5681152,8515584,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
1780591343,0.01687942911955352,0.015872399,1,0.0033349748053137828,0.00846589431826874,0.0010284181947658956,0.008114907094594614,0.001717321066754276,0.01687942911955352,0.0035401507856354397,0.0010161127895266819,0.008198587249593393,0.005284387573687654,0.0022361077515118213,0.0009854137957931422,0,0,0,0,0,0,0,0,88264704,51646464,8990720,41754624,43495424,14249984,47837184,31764480,9482240,42213376,5681152,8511488,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
1780591358,0.013947679086380609,0.020170082,1,0.003307943903242528,0.007890680212014113,0.0008551038923679587,0.008032843741998582,0.0012405432532548923,0.013947679086380609,0.0033320984387404176,0.0009285042885677355,0.007492984097287139,0.00518598407489844,0.002126703333707484,0.0009005222764387076,0,0,0,0,0,0,0,0,88268800,51384320,8990720,41287680,43495424,15204352,47841280,31932416,9424896,42213376,5681152,8511488,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
